collected_at,source,region,childRealTimeBed,childTotalBed,emogCode,emogDesc,emogDstr,emogGrdc2,emogLoca,generalRealTimeBed,generalTotalBed,id,isoRealTimeBed,isoTotalBed,regionCode,updateDate,wholeRealTimeBed,wholeTotalBed
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100011,가톨릭대학교여의도성모병원,1120,C,11,10,15,57678867,5,5,11,2026-07-20T00:45:10.005165,15,20
2026-07-20 00:44:51,mediboard,서울특별시,3,8,A1121013,가톨릭대학교은평성모병원,1122,C,11,9,24,57679086,4,4,11,2026-07-20T00:45:10.005165,16,36
2026-07-20 00:44:51,mediboard,서울특별시,3,3,A1100043,강동경희대학교병원,1102,A,11,2,15,57678760,2,5,11,2026-07-20T00:45:10.005165,7,23
2026-07-20 00:44:51,mediboard,서울특별시,2,2,A1100006,강북삼성병원,1123,C,11,4,15,57679080,3,3,11,2026-07-20T00:45:10.005165,9,20
2026-07-20 00:44:51,mediboard,서울특별시,3,4,A1100002,건국대학교병원,1106,C,11,5,20,57678979,3,3,11,2026-07-20T00:45:10.005165,11,27
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100039,경찰병원,1118,D,11,1,3,57678984,2,2,11,2026-07-20T00:45:10.005165,3,5
2026-07-20 00:44:51,mediboard,서울특별시,3,3,A1100001,경희대학교병원,1111,C,11,3,15,57678922,4,5,11,2026-07-20T00:45:10.005165,10,23
2026-07-20 00:44:51,mediboard,서울특별시,3,3,A1100014,고려대학교의과대학부속구로병원,1107,A,11,8,29,57678868,3,5,11,2026-07-20T00:45:10.005165,14,37
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100026,구로성심병원,1107,D,11,4,9,57679083,1,1,11,2026-07-20T00:45:10.005165,5,10
2026-07-20 00:44:51,mediboard,서울특별시,3,3,A1100052,국립중앙의료원,1124,C,11,14,17,57679030,9,10,11,2026-07-20T00:45:10.005165,26,30
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1122033,기쁨병원,1115,D,11,4,4,57678715,1,1,11,2026-07-20T00:45:10.005165,5,5
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100048,노원을지대학교병원,1109,C,11,12,17,57678713,5,5,11,2026-07-20T00:45:10.005165,17,22
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100044,녹색병원,1125,D,11,5,5,57679029,5,5,11,2026-07-20T00:45:10.005165,10,10
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100037,대림성모병원,1120,D,11,7,8,57678871,1,2,11,2026-07-20T00:45:10.005165,8,10
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100024,명지성모병원,1120,D,11,6,8,57678711,2,2,11,2026-07-20T00:45:10.005165,8,10
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100036,부민병원,1104,D,11,7,10,57679084,1,1,11,2026-07-20T00:45:10.005165,8,11
2026-07-20 00:44:51,mediboard,서울특별시,2,4,A1100010,삼성서울병원,1101,C,11,7,52,57678980,0,4,11,2026-07-20T00:45:10.005165,9,60
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100021,삼육서울병원,1111,C,11,9,13,57678981,4,7,11,2026-07-20T00:45:10.005165,13,20
2026-07-20 00:44:51,mediboard,서울특별시,9,12,A1100017,서울대학교병원,1123,A,11,1,24,57678710,8,8,11,2026-07-20T00:45:10.005165,16,42
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100050,서울성심병원,1111,D,11,17,17,57678985,3,3,11,2026-07-20T00:45:10.005165,20,20
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100029,서울적십자병원,1123,D,11,8,10,57678814,0,1,11,2026-07-20T00:45:10.005165,8,11
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100022,서울특별시동부병원,1111,D,11,7,8,57678757,2,2,11,2026-07-20T00:45:10.005165,9,10
2026-07-20 00:44:51,mediboard,서울특별시,3,3,A1100040,서울특별시보라매병원,1112,C,11,19,31,57678815,3,3,11,2026-07-20T00:45:10.005165,25,37
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100223,서울특별시서남병원,1119,D,11,15,17,57678761,3,3,11,2026-07-20T00:45:10.005165,18,20
2026-07-20 00:44:51,mediboard,서울특별시,1,3,A1100035,서울특별시서울의료원,1125,A,11,5,19,57678983,4,5,11,2026-07-20T00:45:10.005165,10,27
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100028,성심의료재단강동성심병원,1102,C,11,8,15,57678982,8,9,11,2026-07-20T00:45:10.005165,16,24
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100054,성애의료재단성애병원,1120,C,11,10,15,57679031,4,11,11,2026-07-20T00:45:10.005165,14,26
2026-07-20 00:44:51,mediboard,서울특별시,0,0,A1100032,세란병원,1123,D,11,10,10,57678870,1,1,11,2026-07-20T00:45:10.005165,11,11
